
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"

	"DOTA_Tooltip_ability_elena_devotion"    "Devotion Aura"
	"DOTA_Tooltip_ability_elena_devotion_description"    "Grants bonus regeneration to nearby allies whenever Elena casts a Spell."
	"DOTA_Tooltip_ability_elena_devotion_Lore"    "The protective aura of an Infuser grows stronger as their devotion to their subjects improves."
	"DOTA_Tooltip_ability_elena_devotion_armor"    "ARMOR BONUS/REMOVAL:"
	"DOTA_Tooltip_ability_elena_devotion_mr"    "MAGIC RESISTANCE BONUS/REMOVAL:"
	"DOTA_Tooltip_ability_elena_devotion_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_elena_devotion_hp_regen"    "HP REGEN:"
	"DOTA_Tooltip_ability_elena_devotion_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_devotion_effect"    "Devotion"
		"DOTA_Tooltip_modifier_devotion_effect_description"    "Recovering Health over time."

	"DOTA_Tooltip_ability_elena_bladebreaker"    "Bladebreaker"
	"DOTA_Tooltip_ability_elena_bladebreaker_Description"    "Elena enchants nearby opponent's weaponry with a powerful hex, causing them to take Pure damage equivalent to a base amount plus a portion of their attack damage, and become disarmed for a short time."
	"DOTA_Tooltip_ability_elena_bladebreaker_base_damage"    "BASE DAMAGE:"
	"DOTA_Tooltip_ability_elena_bladebreaker_attack_damage"    "%DAMAGE FROM ATTACK DAMAGE:"
	"DOTA_Tooltip_ability_elena_bladebreaker_duration"    "DURATION:"
	"DOTA_Tooltip_ability_elena_bladebreaker_disarm_duration"    "DISARM DURATION:"
	"DOTA_Tooltip_ability_elena_bladebreaker_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_bladebreaker"    "Bladebreaker"
		"DOTA_Tooltip_modifier_bladebreaker_description"    "Attacking will cause you to take damage and become disarmed for a short time."
		"DOTA_Tooltip_modifier_bladebreaker_effect"    "Bladebreaker"
		"DOTA_Tooltip_modifier_bladebreaker_effect_description"    "Disarmed."

///////////////////////////////////////////////////////
// Erra
///////////////////////////////////////////////////////

	"npc_dota_hero_necrolyte"    "Erra"
	"npc_dota_hero_necrolyte_bio"    ""
	"npc_dota_hero_necrolyte_hype"    "Strangely well-rounded, Erra is a nuker with access to his signature Grave Guard, an ability that activates when he drops below a portion of Health and restores his Health and Mana rapidly for a short time. Otherwise, he has access to a nuke that has a reduced cooldown and Pure damage, should any of the targets in the AoE be below 40% Health, bonus damage gained from the missing Health of nearby enemies, and a devastating close range nuke/damage over time with his Ultimate, Deathtouch."


	"DOTA_Tooltip_ability_special_bonus_erra_1"    "+60 Morbid Blade Damage"

	"DOTA_Tooltip_ability_special_bonus_erra_2"    "+4s To Dust Duration"

	"DOTA_Tooltip_ability_special_bonus_erra_3"    "+100 Grave Guard Regen"

	"DOTA_Tooltip_ability_special_bonus_erra_4"    "Deathtouch 40% Slow"

	"DOTA_Tooltip_ability_special_bonus_erra_5"    "1200 Radius Grave Guard Aura"
	"DOTA_Tooltip_ability_special_bonus_erra_5_Description"    "When allies drop below the threshold, they gain the Grave Guard buff as if they possessed the skill. Has its own cooldown."

	"DOTA_Tooltip_ability_erra_morbid_blade"    "Morbid Blade"
	"DOTA_Tooltip_ability_erra_morbid_blade_Description"    "Summons forth the winds of the Black Tide to slice through all enemies caught in them. Deals Physical damage, but if any enemy is below a Health threshold, it deals Pure damage, and its cooldown is halved. A portion of the target's missing Health is granted as healing to Erra."
	"DOTA_Tooltip_ability_erra_morbid_blade_pure_threshold"    "%PURE DAMAGE HEALTH THRESHOLD:"
	"DOTA_Tooltip_ability_erra_morbid_blade_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_erra_morbid_blade_lifesteal"    "%MISSING HEALTH LIFESTEAL:"

	"DOTA_Tooltip_ability_erra_to_dust"    "To Dust"
	"DOTA_Tooltip_ability_erra_to_dust_Description"    "Revelling in the pain of his enemies, Erra drinks in their dwindling lifeforce, converting the entropy to damage. Grants bonus attack damage based on the amount of missing Health of all the enemies in the radius given."
	"DOTA_Tooltip_ability_erra_to_dust_hp_to_bonus_damage"    "%MISSING HEALTH TO BONUS DAMAGE (HEROES):"
	"DOTA_Tooltip_ability_erra_to_dust_creep_hp_to_bonus_damage"    "%MISSING HEALTH TO BONUS DAMAGE (CREEPS):"
	"DOTA_Tooltip_ability_erra_to_dust_duration"    "DURATION:"
	"DOTA_Tooltip_ability_erra_to_dust_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_to_dust_show"    "To Dust"
		"DOTA_Tooltip_modifier_to_dust_show_description"    "Granted bonus attack damage based on missing Health of nearby enemies when cast."

	"DOTA_Tooltip_ability_erra_grave_guard"    "Grave Guard"
	"DOTA_Tooltip_ability_erra_grave_guard_Description"    "When Erra drops below certain threshold of Health, he gains bonus Health and Mana regeneration for a short time to combat it."
	"DOTA_Tooltip_ability_erra_grave_guard_duration"    "DURATION:"
	"DOTA_Tooltip_ability_erra_grave_guard_hp_recovery"    "HP RECOVERY:"
	"DOTA_Tooltip_ability_erra_grave_guard_mp_recovery"    "MP RECOVERY:"
	"DOTA_Tooltip_ability_erra_grave_guard_threshold"    "%HEALTH THRESHOLD:"
		"DOTA_Tooltip_modifier_grave_guard"    "Grave Guard"
		"DOTA_Tooltip_modifier_grave_guard_description"    "Recovering Health and Mana."
		"DOTA_Tooltip_modifier_grave_guard_recovery"    "Grave Guard Recovery"
		"DOTA_Tooltip_modifier_grave_guard_recovery_description"    ""
		"DOTA_Tooltip_modifier_grave_guard_talent_cooldown"    "Grave Guard Cooldown"
		"DOTA_Tooltip_modifier_grave_guard_talent_cooldown_description"    "Grave Guard will not activate."

	"DOTA_Tooltip_ability_erra_deathtouch"    "Deathtouch"
	"DOTA_Tooltip_ability_erra_deathtouch_Description"    "With but a touch, Erra rends the target's soul asunder, dealing massive damage over time."
	"DOTA_Tooltip_ability_erra_deathtouch_dot_amount"    "DAMAGE OVER TIME:"
	"DOTA_Tooltip_ability_erra_deathtouch_dot_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_deathtouch_dot"    "Deathtouch"
		"DOTA_Tooltip_modifier_deathtouch_dot_description"    "Taking damage over time."

///////////////////////////////////////////////////////
// Fate
///////////////////////////////////////////////////////

	"npc_dota_hero_oracle"    "Fate"
	"npc_dota_hero_oracle_bio"    ""
	"npc_dota_hero_oracle_hype"    "Fate is an extremely difficult but highly rewarding character to use. Frail and slow, but possessing a multitude of devastating spells that can function as both support or offensive abilities, Fate can destroy most enemies given enough space in a fight. Wrap your opponents in chains that bond their destinies together, dealing damage as nearby units take damage, reduce the damage your allies take with Displace, heal and damage in an AoE with Realign, and grant you, or an ally, the stat power of extra levels, with Ancestral Recall."


	"DOTA_Tooltip_ability_special_bonus_fate_1"    "+1s Displace Duration"

	"DOTA_Tooltip_ability_special_bonus_fate_2"    "+7s Chains of Fate Duration"

	"DOTA_Tooltip_ability_special_bonus_fate_3"    "+60 Realign Damage/Heal"

	"DOTA_Tooltip_ability_special_bonus_fate_4"    "+20% Ancestral Recall Restore"

	"DOTA_Tooltip_ability_fate_displace"    "Displace"
	"DOTA_Tooltip_ability_fate_displace_description"    "Displaces the target ally's destiny temporarily, making them untargetable, attack immune, not appear on the minimap, and move through units. Disjoints projectiles and purges debuffs upon cast."
	"DOTA_Tooltip_ability_fate_displace_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_displace"    "Displace"
		"DOTA_Tooltip_modifier_displace_description"    "Cannot be attacked or targeted."

	"DOTA_Tooltip_ability_fate_chains_of_fate"    "Chains Of Fate"
	"DOTA_Tooltip_ability_fate_chains_of_fate_description"    "Fate binds the targeted unit with the chains of fate. Any unit bound to the chains will receive a portion of the damage units in the radius receive."
	"DOTA_Tooltip_ability_fate_chains_of_fate_duration"    "DURATION:"
	"DOTA_Tooltip_ability_fate_chains_of_fate_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_fate_chains_of_fate_damage_hero"    "%DAMAGE (HERO):"
	"DOTA_Tooltip_ability_fate_chains_of_fate_damage_creep"    "%DAMAGE (CREEP):"
		"DOTA_Tooltip_modifier_chains_of_fate"    "Chains Of Fate"
		"DOTA_Tooltip_modifier_chains_of_fate_description"    "Taking damage when nearby units take damage."

	"DOTA_Tooltip_ability_fate_realign"    "Realign"
	"DOTA_Tooltip_ability_fate_realign_description"    "Realigns allies and enemies in a small AoE, dealing damage to enemies and healing allies.  Immediately ends Displace's first effect."
	"DOTA_Tooltip_ability_fate_realign_shock_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_fate_realign_damage"    "DAMAGE/HEAL:"

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_warlock"    ""


///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_dark_willow"    ""


///////////////////////////////////////////////////////
// Fury
///////////////////////////////////////////////////////

	"npc_dota_hero_ursa"    "Fury"
	"npc_dota_hero_ursa_bio"    ""
	"npc_dota_hero_ursa_hype"    "A scary bear. Difficult to run from once he gets a few hits off, Fury is a powerful ganker and carry due to his incredible Bloodsport and Rend abilities, a damage over time per hit and max health reduction per hit, respectively. His Q is Roar, empowering him for each unit hit in its AoE for bonus attack speed, movespeed and damage, and his Ultimate makes him attack even faster and augments the power of his Rend and Bloodsport. A true force of nature."


	"DOTA_Tooltip_ability_special_bonus_fury_1"    "+14% Roar Slow"

	"DOTA_Tooltip_ability_special_bonus_fury_2"    "+2% Rend Damage Amp"

	"DOTA_Tooltip_ability_special_bonus_fury_3"    "Roar 1s Stun"

	"DOTA_Tooltip_ability_special_bonus_fury_4"    ""

	"DOTA_Tooltip_ability_fury_roar"    "Roar"
	"DOTA_Tooltip_ability_fury_roar_Description"    "Fury unleashes a roar that leaves his enemies shaken and fearing for their lives. The sonic blast reduces their movespeed, damages them, and empowers Fury for each unit hit, granting him bonus attack speed, movespeed, and damage."
	"DOTA_Tooltip_ability_fury_roar_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_fury_roar_range"    "RANGE:"
	"DOTA_Tooltip_ability_fury_roar_duration"    "DURATION:"
	"DOTA_Tooltip_ability_fury_roar_bonus_movespeed"    "%BONUS MOVESPEED:"
	"DOTA_Tooltip_ability_fury_roar_bonus_attackspeed"    "BONUS ATTACK SPEED:"
	"DOTA_Tooltip_ability_fury_roar_bonus_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_fury_roar_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_roar"    "Roar"
		"DOTA_Tooltip_modifier_roar_description"    "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_roar_enemy"    "Roar"
		"DOTA_Tooltip_modifier_roar_enemy_description"    ""

	"DOTA_Tooltip_ability_fury_rend"    "Rend"
	"DOTA_Tooltip_ability_fury_rend_description"    "With each strike, Fury rends his target's flesh, reducing their maximum Health."
	"DOTA_Tooltip_ability_fury_rend_max_hp_removal_per_stack"    "HP REMOVAL PER STACK:"
	"DOTA_Tooltip_ability_fury_rend_"    "MAXIMUM:"
	"DOTA_Tooltip_ability_fury_rend_reset_time"    "DURATION:"
		"DOTA_Tooltip_modifier_rend"    "Rend"
		"DOTA_Tooltip_modifier_rend_description"    "Taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% more damage from all sources."

	"DOTA_Tooltip_ability_fury_bloodsport"    "Bloodsport"
	"DOTA_Tooltip_ability_fury_bloodsport_description"    "The Deathbeast has such insatiable bloodlust that strikes against his opponents have an almost supernatural tendency to make them bleed.  Damages over time for each stack on the target.  Stacks last for 6s, and ignore damage block."
	"DOTA_Tooltip_ability_fury_bloodsport_bleed"    "DAMAGE:"
		"DOTA_Tooltip_modifier_bloodsport"    "Bloodsport"
		"DOTA_Tooltip_modifier_bloodsport_description"    "Taking damage over time for each stack."

	"DOTA_Tooltip_ability_fury_berserk"    "Berserk"
	"DOTA_Tooltip_ability_fury_berserk_description"    "With a frenzied roar, Fury lives up to his name, entering a state of frenzy, doubling the efficacy of all of his abilities. Increases his attack speed, causes Rend and Bloodsport to apply an additional stack, and doubles the damage, slow and bonuses if Roar is used while active."
	"DOTA_Tooltip_ability_fury_berserk_duration"    "DURATION:"
	"DOTA_Tooltip_ability_fury_berserk_bonus_attackspeed"    "BONUS ATTACKSPEED:"
	"DOTA_Tooltip_ability_fury_berserk_bonus_stacks"    "REND/BLOODSPORT STACK BONUS:"
	"DOTA_Tooltip_ability_fury_berserk_roar_cooldown_reduction"    "ROAR COOLDOWN REDUCTION:"
		"DOTA_Tooltip_modifier_berserk"    "Berserk"
		"DOTA_Tooltip_modifier_berserk_description"    ""

///////////////////////////////////////////////////////
// Voidwalker
///////////////////////////////////////////////////////

	"npc_dota_hero_rubick"    "Voidwalker"
	"npc_dota_hero_rubick_bio"    ""
	"npc_dota_hero_rubick_hype"    "Eccentric, perhaps, but undoubtably skilled, the Voidwalker can crush opposition with a set of dangerous abilities, including a purging bolt of pure energies, a portal that can transport allies to anywhere on the map, a pact with a being from beyond, and a terrifying vortex of abyssal energies that pulls enemies into the centre with ease."


	"DOTA_Tooltip_ability_special_bonus_gemini_1"    "+30 Voidal Flare Damage Bonus"

	"DOTA_Tooltip_ability_special_bonus_gemini_4"    "+150 Abyssal Shadow Attack Range"

	"DOTA_Tooltip_ability_special_bonus_gemini_3"    "Voidal Flare Purges Buffs"

	"DOTA_Tooltip_ability_special_bonus_gemini_2"    "+250 Extraplanar Pact Restore"

	"DOTA_Tooltip_ability_gemini_voidal_flare"    "Voidal Flare"
	"DOTA_Tooltip_ability_gemini_voidal_flare_description"    "The Voidwalker fires a flare of dark energy at the target, dealing Magical damage and stunning them. The damage and duration increase by a flat amount each time it is used on the same target, up to a maximum amount of times."
	"DOTA_Tooltip_ability_gemini_voidal_flare_stun"    "INITIAL STUN:"
	"DOTA_Tooltip_ability_gemini_voidal_flare_damage"    "INITIAL DAMAGE:"
	"DOTA_Tooltip_ability_gemini_voidal_flare_stun_bonus"    "BONUS STUN:"
	"DOTA_Tooltip_ability_gemini_voidal_flare_damage_bonus"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_gemini_voidal_flare_max_mult"    "MAXIMUM HITS:"
		"DOTA_Tooltip_modifier_voidal_flare"    "Voidal Flare"
		"DOTA_Tooltip_modifier_voidal_flare_description"    "Being stunned for longer and taking more damage when hit by the next Voidal Flare."

	"DOTA_Tooltip_ability_gemini_extraplanar_pact"    "Extraplanar Pact"
	"DOTA_Tooltip_ability_gemini_extraplanar_pact_Description"    "Drags the target ally into another plane to make a pact with an extraplanar being, causing them to become invulnerable for a short time. Upon entering the pact, they recover a percentage of their maximum Health and Mana."
	"DOTA_Tooltip_ability_gemini_extraplanar_pact_health_regen"    "HEALTH RESTORE:"
	"DOTA_Tooltip_ability_gemini_extraplanar_pact_mana_regen"    "MANA RESTORE:"
	"DOTA_Tooltip_ability_gemini_extraplanar_pact_duration"    "BUFF DURATION:"
	"DOTA_Tooltip_ability_gemini_extraplanar_pact_out_of_game_duration"    "OUT OF GAME DURATION:"
		"DOTA_Tooltip_modifier_extraplanar_pact_oog"    "Extraplanar Pact"
		"DOTA_Tooltip_modifier_extraplanar_pact_oog_description"    "Currently out of game and recovering Health and Mana."
		"DOTA_Tooltip_modifier_extraplanar_pact"    "Extraplanar Pact"
		"DOTA_Tooltip_modifier_extraplanar_pact_description"    "Recovering Health and Mana."

	"DOTA_Tooltip_ability_gemini_planar_trickery"    "Planar Trickery"
	"DOTA_Tooltip_ability_gemini_planar_trickery_description"    "Summons a portal beneath the target allied or enemy Hero's feet. At any time, he may recast this Spell to instantly transport to the portal's location, consuming it. If the Voidwalker dies, the portal disappears."
	"DOTA_Tooltip_ability_gemini_planar_trickery_duration"    "DURATION:"
	"DOTA_Tooltip_ability_gemini_planar_trickery_activate"    "Jump to Planar Trickery Portal"
	"DOTA_Tooltip_ability_gemini_planar_trickery_activate_description"    "Teleports Voidwalker to a placed Planar Trickery portal on the map."
		"DOTA_Tooltip_modifier_planar_trickery"    "Planar Trickery Portal"
		"DOTA_Tooltip_modifier_planar_trickery_description"    "A portal is active and ready to jump to."

	"DOTA_Tooltip_ability_gemini_abyssal_shadow"    "Abyssal Shadow"
	"DOTA_Tooltip_ability_gemini_abyssal_shadow_Description"    "The Voidwalker summons a powerful being from another plane to help him fight. The creature floats behind him at all times and attacks anything nearby. Each level in this ability increases the creature's damage.<br/>The creature's attacks deal bonus Magical damage that increases with each strike. It is invulnerable and untargetable."
	"DOTA_Tooltip_ability_gemini_abyssal_shadow_level"    "LEVEL:"
	"DOTA_Tooltip_ability_gemini_abyssal_shadow_duration"    "DURATION:"
	"DOTA_Tooltip_ability_gemini_abyssal_shadow_bonus_damage"    "BONUS DAMAGE PER ATTACK:"
		"DOTA_Tooltip_modifier_abyssal_shadow"    "Abyssal Shadow"
		"DOTA_Tooltip_modifier_abyssal_shadow_description"    "The Abyssal Shadow has been summoned to help you."

	"DOTA_Tooltip_ability_gemini_planar_trickery_activate"    "Jump to Planar Trickery Portal"
	"DOTA_Tooltip_ability_gemini_planar_trickery_activate_description"    "Teleports Voidwalker to a placed Planar Trickery portal on the map."

///////////////////////////////////////////////////////
// Gob Squad
///////////////////////////////////////////////////////

	"npc_dota_hero_techies"    "Gob Squad"
	"npc_dota_hero_techies_bio"    ""
	"npc_dota_hero_techies_hype"    "The meaning of madness, Gob Squad cares not for self-preservation, only for destruction. Firing long range rockets with Rocket Blast is where the sanity ends-- the rest of their skillset is dangerous for everyone. Become extremely fast, then explode, with Kamikaze. Throw numerous bombs out of your cart with their Ultimate, Clearance Sale, and of course... explode anyway on death, with Whoops!!"


	"DOTA_Tooltip_ability_special_bonus_gob_squad_1"    "+100 Rocket Blast Damage"

	"DOTA_Tooltip_ability_special_bonus_gob_squad_2"    "+50% Kamikaze Damage/Charge Time"

	"DOTA_Tooltip_ability_special_bonus_gob_squad_3"    "Throw 3 Bombs on Spell Cast"

	"DOTA_Tooltip_ability_special_bonus_gob_squad_4"    "Ride the Rocket Blast!"
	"DOTA_Tooltip_ability_special_bonus_gob_squad_4_Description"    "Gob Squad rides his rocket into battle."

	"DOTA_Tooltip_ability_gob_squad_rocket_blast"    "Rocket Blast"
	"DOTA_Tooltip_ability_gob_squad_rocket_blast_Description"    "Fires a rocket at the target location. Upon colliding with any enemy units or buildings, the rocket will explode, dealing Magical damage in an AoE. Explodes when colliding with buildings, but deals no damage to them."
	"DOTA_Tooltip_ability_gob_squad_rocket_blast_range"    "RANGE:"
	"DOTA_Tooltip_ability_gob_squad_rocket_blast_radius"    "BLAST RADIUS:"

	"DOTA_Tooltip_ability_gob_squad_kamikaze"    "Kamikaze"
	"DOTA_Tooltip_ability_gob_squad_kamikaze_Description"    "Charges for 4s, gaining bonus movespeed. When the duration ends, or the Gob Squad dies, they explode, losing a portion of their Health (based off their maximum Health), and dealing Magical base damage plus bonus damage based on the amount of Health they lost. They are stunned for 1s after use."
	"DOTA_Tooltip_ability_gob_squad_kamikaze_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_gob_squad_kamikaze_duration"    "DURATION:"
	"DOTA_Tooltip_ability_gob_squad_kamikaze_movespeed_bonus"    "%MOVESPEED BONUS:"
	"DOTA_Tooltip_ability_gob_squad_kamikaze_health_damage"    "%HEALTH LOST:"
	"DOTA_Tooltip_ability_gob_squad_kamikaze_total"    "%HEALTH LOST TO BONUS DAMAGE:"
		"DOTA_Tooltip_modifier_kamikaze"    "Kamikaze"
		"DOTA_Tooltip_modifier_kamikaze_description"    "You gonna blow up."

	"DOTA_Tooltip_ability_gob_squad_whoops"    "Whoops"
	"DOTA_Tooltip_ability_gob_squad_whoops_Description"    "When Gob Squad dies, they immediately explode, dealing heavy Magical damage in a large area around them and stunning affected enemies for a short time."
	"DOTA_Tooltip_ability_gob_squad_whoops_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_gob_squad_whoops_stun"    "STUN:"

	"DOTA_Tooltip_ability_gob_squad_clearance_sale"    "Clearance Sale"
	"DOTA_Tooltip_ability_gob_squad_clearance_sale_Description"    "The Gob Squad offloads all of their excess explosives, throwing a bomb out of their cart every half second. Bombs deal Magical damage, Physical damage and slow, or Pure damage and stun, and land in a random location nearby. The Gob Squad takes half damage from the bombs.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_gob_squad_clearance_sale_aghanim_Description"    "Reduces interval between bombs, releases a giant bomb upon duration end or death."
	"DOTA_Tooltip_ability_gob_squad_clearance_sale_radius"    "EXPLOSION RADIUS:"
	"DOTA_Tooltip_ability_gob_squad_clearance_sale_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_clearance_sale"    "Clearance Sale"
		"DOTA_Tooltip_modifier_clearance_sale_description"    "BOMBS EVERYWHERE"
		"DOTA_Tooltip_modifier_clearance_sale_slow"    "Clearance Sale Slow"
		"DOTA_Tooltip_modifier_clearance_sale_slow_description"    ""

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"right"    ""


	"DOTA_Tooltip_ability_special_bonus_hawkeye_1"    "+40 Hit 'n' Run Damage Over Time"

	"DOTA_Tooltip_ability_special_bonus_hawkeye_2"    "2 More Rapidfire Shots"

	"DOTA_Tooltip_ability_special_bonus_hawkeye_3"    "Snipe Attacks Apply Detonator Dart"

	"DOTA_Tooltip_ability_special_bonus_hawkeye_4"    "+600 Snipe Attack Range"

	"DOTA_Tooltip_ability_hawkeye_ricochet"    "Rapidfire"
	"DOTA_Tooltip_ability_hawkeye_ricochet_description"    "Fires multiple shots in succession at the target unit.  This ability preserves UAMs, attack effects, procs, and crits. Reduces the damage by a percentage."
	"DOTA_Tooltip_ability_hawkeye_ricochet_Note0"    "Issues an attack order on the targeted unit."
	"DOTA_Tooltip_ability_hawkeye_ricochet_hits"    "SHOTS:"
	"DOTA_Tooltip_ability_hawkeye_ricochet_damage_reduction"    "%DAMAGE REDUCTION:"

	"DOTA_Tooltip_ability_hawkeye_snipe"    "Snipe"
	"DOTA_Tooltip_ability_hawkeye_snipe_Description"    "Hawkeye focuses, gaining true strike, bonus attack range, bonus damage and vision of attacked targets for a number of attacks, but his movement slows to a crawl."
	"DOTA_Tooltip_ability_hawkeye_snipe_Note0"    "The vision of attack targets lasts for 1.75s."
	"DOTA_Tooltip_ability_hawkeye_snipe_attacks"    "ATTACKS:"
	"DOTA_Tooltip_ability_hawkeye_snipe_attack_range_bonus"    "BONUS ATTACK RANGE:"
	"DOTA_Tooltip_ability_hawkeye_snipe_damage_bonus"    "BONUS ATTACK DAMAGE:"
	"DOTA_Tooltip_ability_hawkeye_snipe_movespeed"    "MOVESPEED:"
	"DOTA_Tooltip_ability_hawkeye_snipe_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_snipe_caster"    "Snipe"
		"DOTA_Tooltip_modifier_snipe_caster_description"    "Gaining bonus attack range, damage, true strike, and vision of targets attacked for a number of attacks."
		"DOTA_Tooltip_modifier_snipe_vision"    "Snipe"
		"DOTA_Tooltip_modifier_snipe_vision_description"    "Hawkeye sees you clearly."

	"DOTA_Tooltip_ability_hawkeye_hit_n_run"    "Hit 'n' Run"
	"DOTA_Tooltip_ability_hawkeye_hit_n_run_description"    "With a spring in his step, Hawkeye leaps out of harms way using the explosive soles on his boots.  Leaves behind an area of damaging and slowing shrapnel to deter his more eager foes."
	"DOTA_Tooltip_ability_hawkeye_hit_n_run_Note0"    "Does not interrupt channelled abilities."
	"DOTA_Tooltip_ability_hawkeye_hit_n_run_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_hit_n_run_slow"    "Hit 'n' Run"
		"DOTA_Tooltip_modifier_hit_n_run_slow_description"    ""

	"DOTA_Tooltip_ability_hawkeye_detonator_dart"    "Detonator Dart"
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_description"    "Hawkeye pins an enemy with one of his powerful explosive devices.  After a short delay, the unit explodes, dealing large damage in a significant area."
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_Note0"    "If the unit dies, the explosion occurs regardless of the countdown."
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_Note1"    "Detonator Dart debuffs stack fully, unless the debuffs are being applied through Hawkeye's Talent, in which case it will not apply another debuff if one already exists on the unit."
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_damage"    "EXPLOSION DAMAGE:"
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_initial_damage"    "INITIAL DAMAGE:"
	"DOTA_Tooltip_ability_hawkeye_detonator_dart_duration"    "DELAY:"
		"DOTA_Tooltip_modifier_detonator_dart"    "Detonator Dart"
		"DOTA_Tooltip_modifier_detonator_dart_description"    ""

///////////////////////////////////////////////////////
// Hero
///////////////////////////////////////////////////////

	"npc_dota_hero_tusk"    "Hero"
	"npc_dota_hero_tusk_bio"    ""
	"npc_dota_hero_tusk_hype"    "Fast and furious, Hero is a get-in-get-out Hero with a fun to use skillset. Kick your enemies away with Justice Kick to set up for your pouncing Freedom Strike, break out of stuns and purgable disables with Heroic Soul, and obliterate your targets with the famed ONE PUNCH!!"


	"DOTA_Tooltip_ability_special_bonus_hero_1"    "+1.25s Heroic Soul Duration"

	"DOTA_Tooltip_ability_special_bonus_hero_2"    "-2s Freedom Strike Cooldown"

	"DOTA_Tooltip_ability_special_bonus_hero_3"    "+300 Justice Kick Damage"

	"DOTA_Tooltip_ability_special_bonus_hero_4"    "+1.75s One Punch! Stun"

	"DOTA_Tooltip_ability_hero_justice_kick"    "Justice Kick!"
	"DOTA_Tooltip_ability_hero_justice_kick_description"    "For justice! Hero kicks the target enemy, knocking them back a short distance and slowing them."
	"DOTA_Tooltip_ability_hero_justice_kick_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_hero_justice_kick_knockback"    "KNOCKBACK:"
	"DOTA_Tooltip_ability_hero_justice_kick_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_hero_justice_kick_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_justice_kick"    "Justice Slow!"
		"DOTA_Tooltip_modifier_justice_kick_description"    "Being slowed! By justice!"

	"DOTA_Tooltip_ability_hero_freedom_strike"    "Freedom Strike!"
	"DOTA_Tooltip_ability_hero_freedom_strike_description"    "For freedom!  Hero leaps into the air, and upon landing, deals damage and slows enemies in a short radius."
	"DOTA_Tooltip_ability_hero_freedom_strike_charge"    "DISTANCE:"
	"DOTA_Tooltip_ability_hero_freedom_strike_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_hero_freedom_strike_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_hero_freedom_strike_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_freedom_strike_slow"    "Freedom Slow!"
		"DOTA_Tooltip_modifier_freedom_strike_slow_description"    "Being slowed! By freedom!"

	"DOTA_Tooltip_ability_hero_heroic_soul"    "Heroic Soul"
	"DOTA_Tooltip_ability_hero_heroic_soul_description"    "For courage! Hero unleashes a war cry that removes any negative effects he's experiencing and grants him bonus damage and move speed for a short time.  Can be cast while stunned.  The first 0.75s of the effect reduces the damage he takes by 60%%."
	"DOTA_Tooltip_ability_hero_heroic_soul_bonus_damage"    "DAMAGE:"
